"","PhotoID","Condition","Generation","First","Second","ID","Rating"
"133",299,"Pair",1,"p2-1-1","p7-1-1",9,4
"134",299,"Pair",1,"p2-1-1","p7-1-1",12,4
"135",299,"Pair",1,"p2-1-1","p7-1-1",13,4
"136",299,"Pair",1,"p2-1-1","p7-1-1",17,4
"137",299,"Pair",1,"p2-1-1","p7-1-1",19,4
"138",299,"Pair",1,"p2-1-1","p7-1-1",23,4
"139",299,"Pair",1,"p2-1-1","p7-1-1",26,4
"140",299,"Pair",1,"p2-1-1","p7-1-1",29,5
"141",300,"Pair",1,"p2-1-1","p8-1-1",2,4
"142",300,"Pair",1,"p2-1-1","p8-1-1",5,3
"143",300,"Pair",1,"p2-1-1","p8-1-1",8,2
"144",300,"Pair",1,"p2-1-1","p8-1-1",10,3
"145",300,"Pair",1,"p2-1-1","p8-1-1",14,2
"146",300,"Pair",1,"p2-1-1","p8-1-1",17,2
"147",300,"Pair",1,"p2-1-1","p8-1-1",19,4
"148",300,"Pair",1,"p2-1-1","p8-1-1",23,2
"149",300,"Pair",1,"p2-1-1","p8-1-1",27,2
"150",300,"Pair",1,"p2-1-1","p8-1-1",29,3
"151",301,"Pair",1,"p2-1-1","p9-1-1",1,1
"152",301,"Pair",1,"p2-1-1","p9-1-1",4,3
"153",301,"Pair",1,"p2-1-1","p9-1-1",9,1
"154",301,"Pair",1,"p2-1-1","p9-1-1",11,1
"155",301,"Pair",1,"p2-1-1","p9-1-1",13,1
"156",301,"Pair",1,"p2-1-1","p9-1-1",16,1
"157",301,"Pair",1,"p2-1-1","p9-1-1",21,2
"158",301,"Pair",1,"p2-1-1","p9-1-1",24,2
"159",301,"Pair",1,"p2-1-1","p9-1-1",26,1
"160",301,"Pair",1,"p2-1-1","p9-1-1",30,1
"161",302,"Pair",1,"p2-1-1","p10-1-1",3,3
"162",302,"Pair",1,"p2-1-1","p10-1-1",6,4
"163",302,"Pair",1,"p2-1-1","p10-1-1",8,4
"164",302,"Pair",1,"p2-1-1","p10-1-1",10,4
"165",302,"Pair",1,"p2-1-1","p10-1-1",15,3
"166",302,"Pair",1,"p2-1-1","p10-1-1",16,2
"167",302,"Pair",1,"p2-1-1","p10-1-1",20,3
"168",302,"Pair",1,"p2-1-1","p10-1-1",22,3
"169",302,"Pair",1,"p2-1-1","p10-1-1",26,2
"170",302,"Pair",1,"p2-1-1","p10-1-1",28,2
"171",303,"Pair",1,"p2-1-1","PEX11-1-1",2,4
"172",303,"Pair",1,"p2-1-1","PEX11-1-1",5,5
"173",303,"Pair",1,"p2-1-1","PEX11-1-1",9,5
"174",303,"Pair",1,"p2-1-1","PEX11-1-1",12,5
"175",303,"Pair",1,"p2-1-1","PEX11-1-1",14,4
"176",303,"Pair",1,"p2-1-1","PEX11-1-1",18,5
"177",303,"Pair",1,"p2-1-1","PEX11-1-1",21,5
"178",303,"Pair",1,"p2-1-1","PEX11-1-1",23,5
"179",303,"Pair",1,"p2-1-1","PEX11-1-1",26,5
"180",303,"Pair",1,"p2-1-1","PEX11-1-1",30,4
"181",304,"Pair",1,"p2-1-1","Y9011112-1-1",3,3
"182",304,"Pair",1,"p2-1-1","Y9011112-1-1",6,4
"183",304,"Pair",1,"p2-1-1","Y9011112-1-1",9,2
"184",304,"Pair",1,"p2-1-1","Y9011112-1-1",12,2
"185",304,"Pair",1,"p2-1-1","Y9011112-1-1",15,2
"186",304,"Pair",1,"p2-1-1","Y9011112-1-1",17,2
"187",304,"Pair",1,"p2-1-1","Y9011112-1-1",19,2
"188",304,"Pair",1,"p2-1-1","Y9011112-1-1",23,2
"189",304,"Pair",1,"p2-1-1","Y9011112-1-1",26,4
"190",304,"Pair",1,"p2-1-1","Y9011112-1-1",29,2
"191",305,"Pair",1,"p3-1-1","p4-1-1",2,2
"192",305,"Pair",1,"p3-1-1","p4-1-1",5,2
"193",305,"Pair",1,"p3-1-1","p4-1-1",7,1
"194",305,"Pair",1,"p3-1-1","p4-1-1",11,1
"195",305,"Pair",1,"p3-1-1","p4-1-1",14,1
"196",305,"Pair",1,"p3-1-1","p4-1-1",16,1
"197",305,"Pair",1,"p3-1-1","p4-1-1",21,3
"198",305,"Pair",1,"p3-1-1","p4-1-1",22,1
"199",305,"Pair",1,"p3-1-1","p4-1-1",25,1
"200",305,"Pair",1,"p3-1-1","p4-1-1",29,3
"201",306,"Pair",1,"p3-1-1","p5-1-1",1,1
"202",306,"Pair",1,"p3-1-1","p5-1-1",4,1
"203",306,"Pair",1,"p3-1-1","p5-1-1",7,1
"204",306,"Pair",1,"p3-1-1","p5-1-1",11,1
"205",306,"Pair",1,"p3-1-1","p5-1-1",13,1
"206",306,"Pair",1,"p3-1-1","p5-1-1",18,1
"207",306,"Pair",1,"p3-1-1","p5-1-1",20,1
"208",306,"Pair",1,"p3-1-1","p5-1-1",22,1
"209",306,"Pair",1,"p3-1-1","p5-1-1",26,1
"210",306,"Pair",1,"p3-1-1","p5-1-1",30,1
"211",307,"Pair",1,"p3-1-1","p7-1-1",2,2
"212",307,"Pair",1,"p3-1-1","p7-1-1",5,1
"213",307,"Pair",1,"p3-1-1","p7-1-1",8,1
"214",307,"Pair",1,"p3-1-1","p7-1-1",12,2
"215",307,"Pair",1,"p3-1-1","p7-1-1",14,2
"216",307,"Pair",1,"p3-1-1","p7-1-1",16,2
"217",307,"Pair",1,"p3-1-1","p7-1-1",20,3
"218",307,"Pair",1,"p3-1-1","p7-1-1",24,3
"219",307,"Pair",1,"p3-1-1","p7-1-1",27,2
"220",307,"Pair",1,"p3-1-1","p7-1-1",28,3
"221",308,"Pair",1,"p3-1-1","p8-1-1",1,3
"222",308,"Pair",1,"p3-1-1","p8-1-1",4,2
"223",308,"Pair",1,"p3-1-1","p8-1-1",9,2
"224",308,"Pair",1,"p3-1-1","p8-1-1",11,1
"225",308,"Pair",1,"p3-1-1","p8-1-1",13,3
"226",308,"Pair",1,"p3-1-1","p8-1-1",16,2
"227",308,"Pair",1,"p3-1-1","p8-1-1",21,3
"228",308,"Pair",1,"p3-1-1","p8-1-1",23,3
"229",308,"Pair",1,"p3-1-1","p8-1-1",26,1
"230",308,"Pair",1,"p3-1-1","p8-1-1",30,2
"231",309,"Pair",1,"p3-1-1","p9-1-1",1,1
"232",309,"Pair",1,"p3-1-1","p9-1-1",4,1
"233",309,"Pair",1,"p3-1-1","p9-1-1",7,4
"234",309,"Pair",1,"p3-1-1","p9-1-1",10,4
"235",309,"Pair",1,"p3-1-1","p9-1-1",13,2
"236",309,"Pair",1,"p3-1-1","p9-1-1",17,2
"237",309,"Pair",1,"p3-1-1","p9-1-1",19,2
"238",309,"Pair",1,"p3-1-1","p9-1-1",24,3
"239",309,"Pair",1,"p3-1-1","p9-1-1",26,4
"240",309,"Pair",1,"p3-1-1","p9-1-1",28,3
"241",310,"Pair",1,"p3-1-1","p10-1-1",3,4
"242",310,"Pair",1,"p3-1-1","p10-1-1",6,4
"243",310,"Pair",1,"p3-1-1","p10-1-1",9,4
"244",310,"Pair",1,"p3-1-1","p10-1-1",11,4
"245",310,"Pair",1,"p3-1-1","p10-1-1",15,4
"246",310,"Pair",1,"p3-1-1","p10-1-1",17,5
"247",310,"Pair",1,"p3-1-1","p10-1-1",20,4
"248",310,"Pair",1,"p3-1-1","p10-1-1",22,5
"249",310,"Pair",1,"p3-1-1","p10-1-1",27,3
"250",310,"Pair",1,"p3-1-1","p10-1-1",30,3
"251",311,"Pair",1,"p3-1-1","PEX11-1-1",1,3
"252",311,"Pair",1,"p3-1-1","PEX11-1-1",4,1
"253",311,"Pair",1,"p3-1-1","PEX11-1-1",9,2
"254",311,"Pair",1,"p3-1-1","PEX11-1-1",10,4
"255",311,"Pair",1,"p3-1-1","PEX11-1-1",13,2
"256",311,"Pair",1,"p3-1-1","PEX11-1-1",18,3
"257",311,"Pair",1,"p3-1-1","PEX11-1-1",21,3
"258",311,"Pair",1,"p3-1-1","PEX11-1-1",23,2
"259",311,"Pair",1,"p3-1-1","PEX11-1-1",27,1
"260",311,"Pair",1,"p3-1-1","PEX11-1-1",28,3
"261",312,"Pair",1,"p3-1-1","Y9011112-1-1",3,3
"262",312,"Pair",1,"p3-1-1","Y9011112-1-1",6,2
"263",312,"Pair",1,"p3-1-1","Y9011112-1-1",8,2
"264",312,"Pair",1,"p3-1-1","Y9011112-1-1",10,1
"265",312,"Pair",1,"p3-1-1","Y9011112-1-1",15,1
"266",312,"Pair",1,"p3-1-1","Y9011112-1-1",18,2
"267",312,"Pair",1,"p3-1-1","Y9011112-1-1",19,2
"268",312,"Pair",1,"p3-1-1","Y9011112-1-1",24,3
"269",312,"Pair",1,"p3-1-1","Y9011112-1-1",27,1
"270",312,"Pair",1,"p3-1-1","Y9011112-1-1",28,2
"271",313,"Pair",1,"p4-1-1","p5-1-1",3,3
"272",313,"Pair",1,"p4-1-1","p5-1-1",6,4
"273",313,"Pair",1,"p4-1-1","p5-1-1",8,3
"274",313,"Pair",1,"p4-1-1","p5-1-1",11,4
"275",313,"Pair",1,"p4-1-1","p5-1-1",15,3
"276",313,"Pair",1,"p4-1-1","p5-1-1",17,4
"277",313,"Pair",1,"p4-1-1","p5-1-1",19,3
"278",313,"Pair",1,"p4-1-1","p5-1-1",22,4
"279",313,"Pair",1,"p4-1-1","p5-1-1",25,1
"280",313,"Pair",1,"p4-1-1","p5-1-1",29,4
"281",314,"Pair",1,"p4-1-1","p7-1-1",1,1
"282",314,"Pair",1,"p4-1-1","p7-1-1",4,1
"283",314,"Pair",1,"p4-1-1","p7-1-1",9,2
"284",314,"Pair",1,"p4-1-1","p7-1-1",11,2
"285",314,"Pair",1,"p4-1-1","p7-1-1",13,3
"286",314,"Pair",1,"p4-1-1","p7-1-1",16,1
"287",314,"Pair",1,"p4-1-1","p7-1-1",19,1
"288",314,"Pair",1,"p4-1-1","p7-1-1",24,2
"289",314,"Pair",1,"p4-1-1","p7-1-1",25,1
"290",314,"Pair",1,"p4-1-1","p7-1-1",30,3
"291",315,"Pair",1,"p4-1-1","p8-1-1",1,1
"292",315,"Pair",1,"p4-1-1","p8-1-1",4,1
"293",315,"Pair",1,"p4-1-1","p8-1-1",8,1
"294",315,"Pair",1,"p4-1-1","p8-1-1",12,4
"295",315,"Pair",1,"p4-1-1","p8-1-1",13,1
"296",315,"Pair",1,"p4-1-1","p8-1-1",17,2
"297",315,"Pair",1,"p4-1-1","p8-1-1",21,2
"298",315,"Pair",1,"p4-1-1","p8-1-1",22,3
"299",315,"Pair",1,"p4-1-1","p8-1-1",27,3
"300",315,"Pair",1,"p4-1-1","p8-1-1",29,2
"301",316,"Pair",1,"p4-1-1","p9-1-1",1,1
"302",316,"Pair",1,"p4-1-1","p9-1-1",4,1
"303",316,"Pair",1,"p4-1-1","p9-1-1",7,1
"304",316,"Pair",1,"p4-1-1","p9-1-1",11,1
"305",316,"Pair",1,"p4-1-1","p9-1-1",13,2
"306",316,"Pair",1,"p4-1-1","p9-1-1",18,1
"307",316,"Pair",1,"p4-1-1","p9-1-1",20,1
"308",316,"Pair",1,"p4-1-1","p9-1-1",22,1
"309",316,"Pair",1,"p4-1-1","p9-1-1",25,1
"310",316,"Pair",1,"p4-1-1","p9-1-1",30,3
"311",317,"Pair",1,"p4-1-1","p10-1-1",3,3
"312",317,"Pair",1,"p4-1-1","p10-1-1",6,4
"313",317,"Pair",1,"p4-1-1","p10-1-1",8,2
"314",317,"Pair",1,"p4-1-1","p10-1-1",12,3
"315",317,"Pair",1,"p4-1-1","p10-1-1",15,3
"316",317,"Pair",1,"p4-1-1","p10-1-1",16,4
"317",317,"Pair",1,"p4-1-1","p10-1-1",20,4
"318",317,"Pair",1,"p4-1-1","p10-1-1",23,2
"319",317,"Pair",1,"p4-1-1","p10-1-1",26,4
"320",317,"Pair",1,"p4-1-1","p10-1-1",30,1
"321",318,"Pair",1,"p4-1-1","PEX11-1-1",2,4
"322",318,"Pair",1,"p4-1-1","PEX11-1-1",5,2
"323",318,"Pair",1,"p4-1-1","PEX11-1-1",7,1
"324",318,"Pair",1,"p4-1-1","PEX11-1-1",11,1
"325",318,"Pair",1,"p4-1-1","PEX11-1-1",14,2
"326",318,"Pair",1,"p4-1-1","PEX11-1-1",16,2
"327",318,"Pair",1,"p4-1-1","PEX11-1-1",21,3
"328",318,"Pair",1,"p4-1-1","PEX11-1-1",24,2
"329",318,"Pair",1,"p4-1-1","PEX11-1-1",25,2
"330",318,"Pair",1,"p4-1-1","PEX11-1-1",29,1
"331",319,"Pair",1,"p4-1-1","Y9011112-1-1",1,3
"332",319,"Pair",1,"p4-1-1","Y9011112-1-1",4,3
"333",319,"Pair",1,"p4-1-1","Y9011112-1-1",8,1
"334",319,"Pair",1,"p4-1-1","Y9011112-1-1",12,3
"335",319,"Pair",1,"p4-1-1","Y9011112-1-1",13,2
